Embedding at location: (0, 111, 1, 0) - Bit: 0
Embedding at location: (1, 0, 1, 0) - Bit: 0
Embedding at location: (1, 3, 1, 0) - Bit: 0
Embedding at location: (1, 3, 1, 1) - Bit: 0
Embedding at location: (1, 4, 1, 0) - Bit: 0
Embedding at location: (1, 6, 1, 0) - Bit: 1
Embedding at location: (1, 7, 1, 0) - Bit: 0
Embedding at location: (1, 9, 1, 0) - Bit: 1
Embedding at location: (1, 14, 1, 0) - Bit: 1
Embedding at location: (1, 15, 1, 0) - Bit: 1
Embedding at location: (1, 15, 1, 2) - Bit: 1
Embedding at location: (1, 18, 1, 0) - Bit: 1
Embedding at location: (1, 18, 1, 2) - Bit: 0
Embedding at location: (1, 18, 2, 0) - Bit: 0
Embedding at location: (1, 19, 1, 0) - Bit: 0
Embedding at location: (1, 21, 1, 0) - Bit: 1
Embedding at location: (1, 23, 1, 0) - Bit: 0
Embedding at location: (1, 24, 1, 0) - Bit: 0
Embedding at location: (1, 25, 1, 0) - Bit: 0
Embedding at location: (1, 27, 1, 1) - Bit: 0
Embedding at location: (1, 28, 2, 2) - Bit: 0
Embedding at location: (1, 34, 1, 0) - Bit: 1
Embedding at location: (1, 36, 1, 0) - Bit: 1
Embedding at location: (1, 41, 1, 0) - Bit: 0
Embedding at location: (1, 43, 2, 0) - Bit: 1
Embedding at location: (1, 49, 1, 0) - Bit: 1
Embedding at location: (1, 52, 1, 0) - Bit: 0
Embedding at location: (1, 56, 2, 0) - Bit: 0
Embedding at location: (1, 61, 1, 0) - Bit: 1
Embedding at location: (1, 62, 1, 0) - Bit: 0
Embedding at location: (1, 65, 1, 1) - Bit: 0
Embedding at location: (1, 67, 1, 0) - Bit: 0
Embedding at location: (1, 70, 1, 0) - Bit: 0
Embedding at location: (1, 72, 1, 0) - Bit: 0
Embedding at location: (1, 73, 1, 0) - Bit: 1
Embedding at location: (1, 82, 1, 0) - Bit: 1
Embedding at location: (1, 84, 1, 0) - Bit: 0
Embedding at location: (1, 84, 1, 1) - Bit: 0
Embedding at location: (1, 85, 1, 0) - Bit: 1
Embedding at location: (1, 85, 1, 1) - Bit: 0
Embedding at location: (1, 85, 1, 2) - Bit: 0
Embedding at location: (1, 86, 1, 0) - Bit: 1
Embedding at location: (1, 86, 1, 1) - Bit: 0
Embedding at location: (1, 87, 1, 0) - Bit: 1
Embedding at location: (1, 101, 1, 0) - Bit: 1
Embedding at location: (1, 102, 1, 0) - Bit: 1
Embedding at location: (1, 106, 1, 0) - Bit: 1
Embedding at location: (1, 106, 1, 1) - Bit: 0
Embedding at location: (1, 106, 1, 2) - Bit: 1
Embedding at location: (1, 107, 1, 0) - Bit: 0
Embedding at location: (1, 107, 1, 1) - Bit: 0
Embedding at location: (1, 110, 1, 0) - Bit: 0
Embedding at location: (1, 110, 1, 1) - Bit: 1
Embedding at location: (1, 111, 1, 0) - Bit: 0
Embedding at location: (1, 111, 1, 1) - Bit: 0
Embedding at location: (1, 112, 1, 0) - Bit: 0
Embedding at location: (1, 112, 1, 1) - Bit: 1
Embedding at location: (1, 114, 1, 0) - Bit: 1
Embedding at location: (1, 115, 1, 0) - Bit: 1
Embedding at location: (1, 115, 1, 1) - Bit: 1
Embedding at location: (1, 116, 1, 1) - Bit: 0
Embedding at location: (1, 119, 2, 2) - Bit: 0
Embedding at location: (1, 122, 1, 1) - Bit: 1
Embedding at location: (1, 124, 1, 0) - Bit: 0
Embedding at location: (1, 126, 1, 1) - Bit: 0
Embedding at location: (1, 130, 1, 0) - Bit: 1
Embedding at location: (1, 131, 1, 0) - Bit: 0
Embedding at location: (1, 131, 2, 0) - Bit: 1
Embedding at location: (1, 131, 2, 1) - Bit: 1
Embedding at location: (1, 132, 1, 0) - Bit: 1
Embedding at location: (1, 132, 1, 1) - Bit: 0
Embedding at location: (1, 133, 1, 0) - Bit: 1
Embedding at location: (1, 133, 1, 1) - Bit: 1
Embedding at location: (1, 133, 1, 2) - Bit: 1
Embedding at location: (1, 133, 1, 3) - Bit: 1
Embedding at location: (1, 133, 2, 0) - Bit: 1
Embedding at location: (1, 133, 3, 0) - Bit: 1
Embedding at location: (1, 133, 4, 0) - Bit: 1
Embedding at location: (1, 134, 1, 0) - Bit: 1
Embedding at location: (1, 134, 1, 1) - Bit: 1
Embedding at location: (1, 134, 1, 2) - Bit: 0
Embedding at location: (1, 134, 2, 0) - Bit: 0
Embedding at location: (1, 134, 2, 1) - Bit: 1
Embedding at location: (2, 1, 1, 0) - Bit: 1
Embedding at location: (2, 2, 1, 0) - Bit: 1
Embedding at location: (2, 9, 1, 0) - Bit: 1
Embedding at location: (2, 12, 1, 0) - Bit: 0
Embedding at location: (2, 18, 1, 0) - Bit: 0
Embedding at location: (2, 18, 1, 1) - Bit: 0
Embedding at location: (2, 19, 1, 1) - Bit: 0
Embedding at location: (2, 19, 1, 2) - Bit: 1
Embedding at location: (2, 20, 1, 0) - Bit: 0
Embedding at location: (2, 20, 2, 0) - Bit: 0
Embedding at location: (2, 51, 1, 0) - Bit: 0
Embedding at location: (2, 54, 1, 0) - Bit: 1
Embedding at location: (2, 56, 1, 0) - Bit: 0
Embedding at location: (2, 59, 1, 0) - Bit: 0
Embedding at location: (2, 60, 1, 0) - Bit: 0
Embedding at location: (2, 67, 1, 0) - Bit: 0
Embedding at location: (2, 85, 1, 0) - Bit: 0
